bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms,village,subdistrict,city,price
4,4,130.0,66.0,0,1,0,DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,2850000000.0
2,2,60.0,30.0,1,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,850000000.0
2,1,40.0,48.0,0,1,0,CIRACAS,CIRACAS,JAKARTA TIMUR,335000000.0
5,4,200.0,127.0,0,1,0,KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,4000000000.0
2,2,80.0,57.0,0,1,0,SRENGSENG SAWAH,JAGAKARSA,JAKARTA SELATAN,975000000.0
3,2,75.0,58.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,950000000.0
5,4,350.0,212.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,6500000000.0
3,2,90.0,293.0,0,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,4800000000.0
5,3,221.0,88.0,0,1,0,KEAGUNGAN,TAMAN SARI,JAKARTA BARAT,2480000000.0
4,2,160.0,185.0,0,1,0,CIRACAS,CIRACAS,JAKARTA TIMUR,2100000000.0
4,3,254.0,161.0,0,1,0,KALIDERES,KALI DERES,JAKARTA BARAT,4000000000.0
6,4,200.0,223.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,3750000000.0
5,5,400.0,252.0,0,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,4800000000.0
3,2,85.0,66.0,0,1,0,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,1375000000.0
4,3,168.0,303.0,0,1,0,PULO GEBANG,CAKUNG,JAKARTA TIMUR,3500000000.0
4,4,400.0,510.0,0,1,0,PASAR MINGGU,PASAR MINGGU,JAKARTA SELATAN,8500000000.0
3,2,140.0,90.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,1150000000.0
2,1,70.0,35.0,0,1,0,CIPINANG,PULO GADUNG,JAKARTA TIMUR,400000000.0
3,2,160.0,144.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,2300000000.0
7,3,280.0,160.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,3000000000.0
4,1,85.0,135.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,1450000000.0
2,1,48.0,62.0,0,1,0,CEGER,CIPAYUNG,JAKARTA TIMUR,800000000.0
2,1,30.0,42.0,0,1,0,LUBANG BUAYA,CIPAYUNG,JAKARTA TIMUR,550000000.0
5,2,360.0,229.0,0,1,0,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,4900000000.0
3,2,160.0,80.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,1250000000.0
4,2,105.0,154.0,0,1,0,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,2700000000.0
3,2,150.0,200.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,3000000000.0
2,2,78.0,156.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,1850000000.0
3,2,100.0,75.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,1450000000.0
3,2,96.0,70.0,0,1,0,CILINCING,CILINCING,JAKARTA UTARA,1500000000.0
3,3,125.0,78.0,1,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,1300000000.0
3,2,180.0,120.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,1800000000.0
5,4,155.0,270.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,3500000000.0
4,4,300.0,247.0,0,1,0,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,10500000000.0
4,4,250.0,315.0,1,1,0,KALIDERES,KALI DERES,JAKARTA BARAT,4900000000.0
6,2,350.0,175.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,2800000000.0
4,3,230.0,200.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,2650000000.0
3,3,130.0,240.0,0,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,6500000000.0
2,1,60.0,90.0,0,1,0,JATINEGARA,CAKUNG,JAKARTA TIMUR,1300000000.0
4,3,240.0,200.0,0,1,0,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,2500000000.0
5,3,156.0,82.0,0,1,0,PULO GADUNG,PULO GADUNG,JAKARTA TIMUR,2200000000.0
4,2,110.0,92.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,1450000000.0
5,4,280.0,551.0,0,1,0,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,5700000000.0
3,2,80.0,75.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,1750000000.0
5,4,200.0,170.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,4000000000.0
4,2,160.0,90.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,1400000000.0
5,7,500.0,311.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,6750000000.0
4,2,140.0,108.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,2100000000.0
1,1,50.0,40.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,390000000.0
6,5,500.0,277.0,0,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,6500000000.0
3,3,200.0,219.0,2,1,0,TEBET TIMUR,TEBET,JAKARTA SELATAN,4300000000.0
3,2,90.0,136.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,1250000000.0
4,3,250.0,100.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,3600000000.0
2,1,90.0,126.0,1,1,0,DURI KEPA,KEBON JERUK,JAKARTA BARAT,1900000000.0
3,3,220.0,117.0,0,1,0,SENEN,SENEN,JAKARTA PUSAT,1600000000.0
3,1,250.0,251.0,0,1,0,KOJA,KOJA,JAKARTA UTARA,3000000000.0
2,1,60.0,90.0,0,1,0,JATINEGARA,CAKUNG,JAKARTA TIMUR,1300000000.0
6,3,255.0,518.0,0,1,0,KAYU PUTIH,PULO GADUNG,JAKARTA TIMUR,14000000000.0
5,5,570.0,360.0,0,1,0,KEMAYORAN,KEMAYORAN,JAKARTA PUSAT,13000000000.0
3,2,72.0,84.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,850000000.0
5,4,450.0,300.0,0,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,6000000000.0
3,2,129.0,120.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,1100000000.0
3,2,120.0,90.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,1500000000.0
6,3,250.0,129.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,2900000000.0
4,2,120.0,133.0,0,1,0,CAWANG,KRAMAT JATI,JAKARTA TIMUR,2250000000.0
1,2,70.0,70.0,0,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,3500000000.0
4,4,250.0,194.0,2,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,3700000000.0
3,3,146.0,90.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,4200000000.0
4,2,158.0,138.0,0,1,0,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,4000000000.0
4,1,100.0,78.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,925000000.0
3,2,40.0,40.0,0,1,0,ANGKE,TAMBORA,JAKARTA BARAT,650000000.0
3,2,100.0,196.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,3136000000.0
3,1,100.0,78.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,720000000.0
3,1,90.0,70.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,1000000000.0
4,3,160.0,137.0,2,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,2700000000.0
5,3,280.0,114.0,2,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1800000000.0
4,4,150.0,105.0,2,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,2700000000.0
3,3,160.0,112.0,0,1,0,GAMBIR,GAMBIR,JAKARTA PUSAT,4500000000.0
4,2,90.0,140.0,0,1,0,PETUKANGAN UTARA,PESANGGRAHAN,JAKARTA SELATAN,1500000000.0
8,5,180.0,420.0,0,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,5800000000.0
5,5,223.0,120.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,7100000000.0
4,4,223.0,120.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,7100000000.0
3,2,134.0,134.0,0,1,0,KEMANGGISAN,PALMERAH,JAKARTA BARAT,2850000000.0
3,2,275.0,167.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,1600000000.0
5,3,236.0,281.0,0,1,0,CIPINANG,PULO GADUNG,JAKARTA TIMUR,4900000000.0
5,4,150.0,90.0,0,1,0,GUNUNG SAHARI SELATAN,KEMAYORAN,JAKARTA PUSAT,2250300200.0
2,1,36.0,36.0,0,1,0,KALISARI,PASAR REBO,JAKARTA TIMUR,450000000.0
2,1,100.0,95.0,0,1,0,JATI,PULO GADUNG,JAKARTA TIMUR,2250000000.0
4,4,350.0,242.0,0,1,0,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,5000000000.0
4,3,254.0,161.0,0,1,0,KALIDERES,KALI DERES,JAKARTA BARAT,4000000000.0
4,3,150.0,348.0,0,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,7500000000.0
5,3,339.0,289.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,5700000000.0
4,4,250.0,194.0,0,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,3500000000.0
4,2,120.0,180.0,0,1,0,MENTENG,MENTENG,JAKARTA PUSAT,5500000000.0
3,1,80.0,78.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,650000000.0
5,4,220.0,193.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,2650000000.0
4,2,150.0,140.0,0,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,1700000000.0
5,4,400.0,451.0,0,1,0,PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,11000000000.0
3,2,196.0,99.0,0,1,0,KEBON KOSONG,KEMAYORAN,JAKARTA PUSAT,1850000000.0
3,1,90.0,70.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,720000000.0
5,4,300.0,165.0,0,1,0,PONDOK KOPI,DUREN SAWIT,JAKARTA TIMUR,3400000000.0
2,1,70.0,78.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,730000000.0
3,1,100.0,90.0,0,1,0,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,1500000000.0
4,4,296.0,148.0,0,1,0,MAKASAR,MAKASAR,JAKARTA TIMUR,2600000000.0
6,4,300.0,322.0,1,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,3600000000.0
6,4,300.0,322.0,1,1,0,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,3600000000.0
4,2,130.0,144.0,0,1,0,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,4500000000.0
3,2,160.0,112.0,0,1,0,SRENGSENG,KEMBANGAN,JAKARTA BARAT,2200000000.0
3,4,160.0,90.0,0,1,0,CILINCING,CILINCING,JAKARTA UTARA,2050000000.0
3,3,105.0,85.0,0,1,0,MERUYA SELATAN,KEMBANGAN,JAKARTA BARAT,1500000000.0
3,3,168.0,168.0,0,1,0,KARTINI,SAWAH BESAR,JAKARTA PUSAT,4500000000.0
2,1,52.0,26.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,335000000.0
3,3,208.0,144.0,2,1,0,KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,2800000000.0
3,2,90.0,75.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,990000000.0
4,1,120.0,102.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,1300000000.0
4,4,250.0,194.0,2,1,0,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,3500000000.0
2,3,80.0,36.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,775000000.0
3,1,80.0,78.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,625000000.0
4,4,156.0,90.0,0,1,0,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,2100000000.0
2,1,44.0,70.0,0,1,0,CIRACAS,CIRACAS,JAKARTA TIMUR,600000000.0
3,2,80.0,75.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,990000000.0
7,4,225.0,425.0,0,1,0,PULO GADUNG,PULO GADUNG,JAKARTA TIMUR,3800000000.0
2,1,60.0,90.0,0,1,0,SEMANAN,KALI DERES,JAKARTA BARAT,1300000000.0
2,1,50.0,71.0,0,1,0,CIRACAS,CIRACAS,JAKARTA TIMUR,799000000.0
2,1,45.0,60.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,650000000.0
3,1,70.0,78.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,710000000.0
3,2,120.0,78.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,690000000.0
4,3,200.0,156.0,0,1,0,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,5800000000.0
4,3,200.0,128.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,2400000000.0
4,4,95.0,60.0,0,1,0,PEGADUNGAN,KALI DERES,JAKARTA BARAT,2300000000.0
3,3,200.0,124.0,0,1,0,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN,4500000000.0
4,5,171.0,70.0,0,1,0,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,4200000000.0
4,5,460.0,246.0,0,1,0,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,11500000000.0
3,2,88.0,135.0,0,1,0,KLENDER,DUREN SAWIT,JAKARTA TIMUR,1850000000.0
1,1,100.0,120.0,0,1,0,PONDOK KOPI,DUREN SAWIT,JAKARTA TIMUR,2150000000.0
5,3,170.0,425.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,3200000000.0
3,2,150.0,310.0,0,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,6000000000.0
4,3,350.0,281.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,2200000000.0
3,2,80.0,43.0,0,1,0,PASAR MINGGU,PASAR MINGGU,JAKARTA SELATAN,990000000.0
3,2,60.0,40.0,0,1,0,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,650000000.0
3,3,120.0,261.0,0,1,0,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,5200000000.0
5,5,208.0,174.0,0,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,5000000000.0
3,2,60.0,30.0,1,1,0,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,850000000.0
2,2,50.0,70.0,0,1,0,BAMBU APUS,CIPAYUNG,JAKARTA TIMUR,900000000.0
3,3,108.0,89.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,1560000000.0
3,3,130.0,70.0,0,1,0,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,1800000000.0
3,2,60.0,67.0,0,1,0,TANJUNG PRIOK,TANJUNG PRIOK,JAKARTA UTARA,1500000000.0
2,1,100.0,48.0,0,1,0,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,1676400000.0
2,1,150.0,57.0,0,1,0,JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,2039120000.0
4,4,130.0,66.0,2,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,2879000000.0
6,3,465.0,469.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,9000000000.0
3,3,56.0,56.0,0,1,0,KRENDANG,TAMBORA,JAKARTA BARAT,1400000000.0
4,4,520.0,200.0,0,1,0,WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,4750000000.0
3,3,75.0,62.0,1,1,0,KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,2000000000.0
4,2,180.0,120.0,2,1,0,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,3350000000.0
5,1,120.0,70.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,450000000.0
4,3,229.0,315.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4900000000.0
4,3,229.0,315.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4900000000.0
4,2,300.0,215.0,1,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4000000000.0
4,3,250.0,105.0,0,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,2700000000.0
4,3,229.0,315.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4900000000.0
3,3,360.0,514.0,0,1,0,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,13000000000.0
6,3,125.0,104.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,1700000000.0
5,4,300.0,200.0,2,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,8200000000.0
4,4,220.0,181.0,0,1,0,MERUYA SELATAN,KEMBANGAN,JAKARTA BARAT,3600000000.0
2,1,90.0,95.0,0,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,1600000000.0
3,2,92.0,72.0,0,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,2500000000.0
4,3,229.0,315.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4900000000.0
6,3,360.0,306.0,0,1,0,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,7000000000.0
2,2,90.0,90.0,0,1,0,KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,2600000000.0
2,2,110.0,90.0,1,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,2700000000.0
4,3,158.0,336.0,0,1,0,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,8000000000.0
3,2,145.0,125.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,2500000000.0
4,3,304.0,250.0,2,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,8200000000.0
3,4,90.0,90.0,0,1,0,GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,3100000000.0
4,3,130.0,300.0,0,1,0,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,7750000000.0
3,3,147.0,145.0,0,1,0,WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,4000000000.0
4,4,225.0,144.0,1,1,0,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,4500000000.0
4,3,310.0,260.0,0,1,0,JOGLO,KEMBANGAN,JAKARTA BARAT,2850000000.0
4,3,250.0,172.0,0,1,0,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,7000000000.0
5,3,280.0,200.0,0,1,0,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,7700000000.0
3,1,100.0,132.0,0,1,0,DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,1800000000.0
3,1,110.0,204.0,1,1,0,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,1500000000.0
4,4,300.0,235.0,0,1,0,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,10500000000.0
3,2,120.0,90.0,0,1,0,KRENDANG,TAMBORA,JAKARTA BARAT,1350000000.0
4,4,300.0,200.0,0,1,0,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,3750000000.0
5,2,121.0,117.0,0,1,0,GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,2500000000.0
4,2,78.0,90.0,0,1,0,DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,1500000000.0
2,2,160.0,200.0,0,1,0,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,6500000000.0
3,2,120.0,72.0,0,1,0,KAPUK,CENGKARENG,JAKARTA BARAT,1550000000.0
3,2,100.0,120.0,0,1,0,RAWA BUAYA,CENGKARENG,JAKARTA BARAT,1200000000.0
3,2,300.0,365.0,1,1,0,KARANG ANYAR,SAWAH BESAR,JAKARTA PUSAT,10000000000.0
8,3,280.0,185.0,1,1,0,GUNUNG SAHARI UTARA,SAWAH BESAR,JAKARTA PUSAT,5000000000.0
7,3,280.0,185.0,1,1,0,GELORA,TANAH ABANG,JAKARTA PUSAT,5000000000.0
3,2,71.0,25.0,0,1,0,RAWASARI,CEMPAKA PUTIH,JAKARTA PUSAT,900000000.0
5,5,250.0,150.0,0,1,0,RAWASARI,CEMPAKA PUTIH,JAKARTA PUSAT,5500000000.0
3,2,98.0,119.0,0,1,0,MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA PUSAT,1350000000.0
3,2,93.0,49.0,0,1,0,CIRACAS,CIRACAS,JAKARTA TIMUR,985000000.0
6,2,400.0,100.0,0,1,0,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,9000000000.0
6,3,216.0,216.0,0,1,0,CEMPAKA PUTIH BARAT,CEMPAKA PUTIH,JAKARTA PUSAT,4500000000.0
4,3,235.0,264.0,1,1,0,GUNUNG SAHARI SELATAN,KEMAYORAN,JAKARTA PUSAT,7500000000.0
4,2,220.0,125.0,0,1,0,PETOJO UTARA,GAMBIR,JAKARTA PUSAT,3000000000.0
3,2,141.0,236.0,0,1,0,MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA PUSAT,5800000000.0
5,4,125.0,155.0,0,1,0,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH,JAKARTA PUSAT,3500000000.0
3,2,165.0,330.0,0,1,0,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,5500000000.0
4,4,72.0,120.0,0,1,0,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,2400000000.0
6,4,274.0,165.0,0,1,0,PASAR MANGGIS,SETIA BUDI,JAKARTA SELATAN,12000000000.0
5,5,310.0,161.0,0,1,0,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,8764000000.0
3,3,140.0,72.0,0,1,0,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,2400000000.0
3,4,230.0,147.0,2,1,0,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,4300000000.0
4,4,215.0,81.0,0,1,0,CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,4665000000.0
5,1,180.0,323.0,1,1,0,KARET KUNINGAN,SETIA BUDI,JAKARTA SELATAN,9700000000.0
4,3,123.0,142.0,0,1,0,TEBET BARAT,TEBET,JAKARTA SELATAN,2900000000.0
4,3,177.0,377.0,2,1,0,BANGKA,MAMPANG PRAPATAN,JAKARTA SELATAN,7000000000.0
3,2,100.0,87.0,0,1,0,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,1350125000.0
5,3,300.0,350.0,2,1,0,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,7500000000.0
4,1,150.0,170.0,2,1,0,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,4500000000.0
4,4,180.0,130.0,0,1,0,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,4500000000.0
4,3,230.0,140.0,0,1,0,BUKIT DURI,TEBET,JAKARTA SELATAN,3900000000.0
5,2,203.0,251.0,0,1,0,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,5000000000.0
